Source,InformationFlow,Destination,SourceLayer,DestLayer
Bangkok Emergency Management Center,incident command information coordination,Pnom Pehn Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Khorathidin Regional Emergency Management Center,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information coordination,Bangkok Emergency Management Center,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information coordination,Khorathidin Regional Emergency Management Center,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information coordination,Bangkok Emergency Management Center,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information coordination,Pnom Pehn Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Ambulance 01 - Emergency Vehicle OBE,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Ambulance 02 - Emergency Vehicle OBE,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Ambulance 03 - Emergency Vehicle OBE,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police 01 - Emergency Vehicle OBE,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police 02 - Emergency Vehicle OBE,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police 03 - Emergency Vehicle OBE,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police 04 - Emergency Vehicle OBE,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Police 05 - Emergency Vehicle OBE,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Fire 01 - Emergency Vehicle OBE,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Fire 01 - Emergency Vehicle OBE,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,Pnom Pehn Ambulance 01 - Emergency Vehicle OBE,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,Pnom Pehn Ambulance 02 - Emergency Vehicle OBE,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,Pnom Pehn Police 01 - Emergency Vehicle OBE,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,Pnom Pehn Police 02 - Emergency Vehicle OBE,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,Pnom Pehn Police 03 - Emergency Vehicle OBE,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,Pnom Pehn Fire 01 - Emergency Vehicle OBE,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,Pnom Pehn Fire 02 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Ambulance 01 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Ambulance 02 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Ambulance 03 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Ambulance 04 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Ambulance 05 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Ambulance 06 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Police 01 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Police 02 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Police 03 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Fire 01 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Fire 02 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Fire 03 - Emergency Vehicle OBE,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,Khorathidin Regional Fire 04 - Emergency Vehicle OBE,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Pnom Pehn Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,incident command information coordination,Khorathidin Regional Emergency Management Center,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information coordination,Bangkok Emergency Management Center,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information coordination,Khorathidin Regional Emergency Management Center,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information coordination,Bangkok Emergency Management Center,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information coordination,Pnom Pehn Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Kittipong Suthamchai - Emergency System Operator,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Nattaporn Rattanapong - Emergency System Operator,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Sasithorn Boonyasiri - Emergency System Operator,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Worachai Kanchanarat - Emergency System Operator,Physical,Physical
Bangkok Emergency Management Center,emergency operations status,Pimnara Chotiphan - Emergency System Operator,Physical,Physical
Pnom Pehn Emergency Management Center,emergency operations status,Anusorn Wattanachai - Emergency System Operator,Physical,Physical
Pnom Pehn Emergency Management Center,emergency operations status,Jirapat Srisuwan - Emergency System Operator,Physical,Physical
Khorathidin Regional Emergency Management Center,emergency operations status,Lalita Phanichkul - Emergency System Operator,Physical,Physical
Khorathidin Regional Emergency Management Center,emergency operations status,Thanawat Thongprasert - Emergency System Operator,Physical,Physical
Khorathidin Regional Emergency Management Center,emergency operations status,Oranuch Siripong - Emergency System Operator,Physical,Physical
Kittipong Suthamchai - Emergency System Operator,emergency operations input,Bangkok Emergency Management Center,Physical,Physical
Nattaporn Rattanapong - Emergency System Operator,emergency operations input,Bangkok Emergency Management Center,Physical,Physical
Sasithorn Boonyasiri - Emergency System Operator,emergency operations input,Bangkok Emergency Management Center,Physical,Physical
Worachai Kanchanarat - Emergency System Operator,emergency operations input,Bangkok Emergency Management Center,Physical,Physical
Pimnara Chotiphan - Emergency System Operator,emergency operations input,Bangkok Emergency Management Center,Physical,Physical
Anusorn Wattanachai - Emergency System Operator,emergency operations input,Pnom Pehn Emergency Management Center,Physical,Physical
Jirapat Srisuwan - Emergency System Operator,emergency operations input,Pnom Pehn Emergency Management Center,Physical,Physical
Lalita Phanichkul - Emergency System Operator,emergency operations input,Khorathidin Regional Emergency Management Center,Physical,Physical
Thanawat Thongprasert - Emergency System Operator,emergency operations input,Khorathidin Regional Emergency Management Center,Physical,Physical
Oranuch Siripong - Emergency System Operator,emergency operations input,Khorathidin Regional Emergency Management Center,Physical,Physical
Bangkok Emergency Management Center,decision support information,357192084561234 Galaxy S25 Ultra - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,864209153782145 iPhone 16 Pro Max - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,351984206713589 Pixel 9 XL - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,864512309876231 Xperia Z7 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,352091847563210 OnePlus 13T - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,861234509876543 Redmi Note 15 Pro - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,359876120345678 Moto G100 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,864209875612340 Nokia X50 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,352098761234567 Huawei P60 Pro - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,861234567890123 Oppo Find X7 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,352091234567890 Vivo X90 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,861234098765432 Realme GT Neo 6 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,352098765432109 Asus ROG Phone 8 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,861234567809876 Lenovo Legion Y90 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,352091234098765 Honor Magic 6 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,861234567801234 ZTE Axon 50 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,352098765401234 BlackBerry Key5 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,861234567890124 HTC U23 Pro - Personnel Device,Physical,Physical
